"id","itemTime","trial.","kind","option","trainingMessage","color","scenario","qud","value","askedQuestion","bet","sentExpression","RT","language","comments","engagement","difficulty","passed.control","overall.control.score"
"AJODD1253X",1500319284937,1,"training","multibet","prob","red","nomatter","nomatter","nomatter","wh","red","dots",14346,"English",NA,10,5,NA,4
"AJODD1253X",1500319291443,2,"training","singlebet","probNot","black","nomatter","nomatter","nomatter","wh","dont","dots",6506,"English",NA,10,5,NA,4
"AJODD1253X",1500319295870,3,"training","singlebet","cert","red","nomatter","nomatter","nomatter","wh","red","dots",4417,"English",NA,10,5,NA,4
"AJODD1253X",1500319310496,4,"trial","nomatter","nomatter","blue","plural","polar","5","dots","dots","prob",6120,"English",NA,10,5,NA,4
"AJODD1253X",1500319316282,5,"trial","nomatter","nomatter","black","plural","polar","3","dots","dots","probNot",5775,"English",NA,10,5,NA,4
"AJODD1253X",1500319321522,6,"trial","nomatter","nomatter","black","dual","wh","5","dots","dots","prob",5230,"English",NA,10,5,NA,4
"AJODD1253X",1500319324906,7,"trial","nomatter","nomatter","red","plural","polar","4","dots","dots","prob",3383,"English",NA,10,5,NA,4
"AJODD1253X",1500319329672,8,"trial","nomatter","nomatter","white","plural","polar","0","dots","dots","certNot",4757,"English",NA,10,5,1,4
"AJODD1253X",1500319333502,9,"trial","nomatter","nomatter","white","dual","polar","5","dots","dots","prob",3830,"English",NA,10,5,NA,4
"AJODD1253X",1500319336722,10,"trial","nomatter","nomatter","red","dual","wh","0","dots","dots","certNot",3210,"English",NA,10,5,1,4
"AJODD1253X",1500319341068,11,"trial","nomatter","nomatter","white","dual","wh","3","dots","dots","probNot",4336,"English",NA,10,5,NA,4
"AJODD1253X",1500319343788,12,"trial","nomatter","nomatter","black","dual","polar","3","dots","dots","probNot",2710,"English",NA,10,5,NA,4
"AJODD1253X",1500319346571,13,"trial","nomatter","nomatter","blue","dual","wh","4","dots","dots","probNot",2773,"English",NA,10,5,NA,4
"AJODD1253X",1500319349228,14,"trial","nomatter","nomatter","blue","dual","polar","10","dots","dots","cert",2647,"English",NA,10,5,1,4
"AJODD1253X",1500319352793,15,"trial","nomatter","nomatter","blue","dual","polar","4","dots","dots","probNot",3553,"English",NA,10,5,NA,4
"AJODD1253X",1500319355561,16,"trial","nomatter","nomatter","black","plural","wh","4","dots","dots","prob",2758,"English",NA,10,5,NA,4
"AJODD1253X",1500319358091,17,"trial","nomatter","nomatter","blue","plural","wh","5","dots","dots","prob",2530,"English",NA,10,5,NA,4
"AJODD1253X",1500319361818,18,"trial","nomatter","nomatter","black","plural","polar","10","dots","dots","cert",3716,"English",NA,10,5,1,4
"AJODD1253X",1500319366547,19,"trial","nomatter","nomatter","black","plural","wh","3","dots","dots","probNot",4723,"English",NA,10,5,NA,4
"AYVJH6361V",1500319820210,1,"training","singlebet","cert","red","nomatter","nomatter","nomatter","red","red","dots",16189,"English",NA,2,2,NA,4
"AYVJH6361V",1500319828477,2,"training","multibet","certNot","black","nomatter","nomatter","nomatter","wh","dont","dots",8265,"English",NA,2,2,NA,4
